,text,favourite_count,retweet_count,created_at
40,RT @sh0w3d: I’m embarrassed to live in a world that’s allowed 9 fast and furious movies,0,422,2021-09-01 14:28:21
41,"RT @da13thsun: Th Soul may desire to test drive a Better Body like Ye love a new benz AMG...

This is NOT Your Assigned Vessel and must ret…",0,36,2021-09-01 14:20:57
42,RT @Amara_Bengaluru: Fast and Furious 9 in Kannada from tomorrow in Mysore. #FF9InKannada #Fast9 #fastandfurious https://t.co/Lw4UXveu7R,0,14,2021-09-01 14:14:20
43,"Get ready to witness the biggest blockbuster fast and furious 9 from Thursday Arasan cinemas A/C
 daily 4 shows booking at book my show https://t.co/yosSE6NAWi",11,0,2021-09-01 14:10:38
44,"Fast and furious 9 movie poster. 
#FastAndFurious9 #Matrix4 #MoviePlus https://t.co/9aHqDmebav",1,0,2021-09-01 13:49:09
45,"Fast and furious 9 without Dwayne Johnson in it, just seems odd",1,0,2021-09-01 13:24:47
46,RT @JayamaruthiGobi: Fast and Furious 9 from tomorrow! Bookings to open soon on Ticketnew and Paytm soon. https://t.co/laZZ8FAWYU,0,4,2021-09-01 13:16:45
47,RT @JayamaruthiGobi: Fast and Furious 9 from tomorrow! Bookings to open soon on Ticketnew and Paytm soon. https://t.co/laZZ8FAWYU,0,4,2021-09-01 13:15:42
48,RT @JayamaruthiGobi: Fast and Furious 9 from tomorrow! Bookings to open soon on Ticketnew and Paytm soon. https://t.co/laZZ8FAWYU,0,4,2021-09-01 13:14:36
49,"RT @da13thsun: Th Soul may desire to test drive a Better Body like Ye love a new benz AMG...

This is NOT Your Assigned Vessel and must ret…",0,36,2021-09-01 13:06:33
50,@PizzaHutIN Mom Please order a Pizza @PizzaHutIN giving the free Dessert with it and Let's ready to watch it fast furious 9 Along Pizza Hut Hot and Cold Combination,0,0,2021-09-01 12:32:12
51,🎥 Fast and (fucking) Furious 9,0,0,2021-09-01 12:25:17
52,"RT @Amara_Bengaluru: Fast and Furious 9 in Kannada in Belagavi. #FF9InKannada
@INOXMovies https://t.co/Xayr4Gzs28",0,10,2021-09-01 12:23:44
53,This movie and Mission Impossible have the best car stunts than the Fast and Furious(7-9) https://t.co/QNvELOX3d0,5,0,2021-09-01 12:17:18
54,"Here's a special message from #VinDiesel to all his fans out there.
Come experience the thrill on the big screen again with your family only at PVR CINEMAS
Advance booking for Fast and Furious 9 is Now Open
BOOK YOUR TICKETS NOW - https://t.co/OzicvOMIi9 https://t.co/n3adShVcTw",0,0,2021-09-01 12:10:10
55,"Here's a special message from #VinDiesel to all his fans out there.
Come experience the thrill on the big screen again with your family only at PVR CINEMAS
Advance booking for Fast and Furious 9 is Now Open
BOOK YOUR TICKETS NOW - https://t.co/RZv6aBI7Bs https://t.co/ThE9j81j0a",0,0,2021-09-01 12:08:58
56,"the show house of mouse , the goofy movie , baby boy , Atl , boyz n da hood , ghost , fast and furious maybe be relevant size 11 or 9 shoes someone could also love crocs , Chuck Taylor’s , Jordan’s",3,1,2021-09-01 12:07:40
57,"Here's a special message from #VinDiesel to all his fans out there.
Come experience the thrill on the big screen again with your family only at PVR CINEMAS
Advance booking for Fast and Furious 9 is Now Open
BOOK YOUR TICKETS NOW - https://t.co/OfJKVgG8pr https://t.co/ZDbNU7GJog",0,0,2021-09-01 12:06:55
58,@NusandN Watch some Fast and Furious movies (except for 8 and 9) bcz Paul past away during the act of F&amp;F7 ending (not in movie. Just some other fun time he had),1,0,2021-09-01 12:06:11
59,"RT @Spidex_: Fast and Furious 9 (2021)
Director: Justin Lee https://t.co/29GohkQaiM",0,18,2021-09-01 12:03:16
